2017-07-20 10:36:34.542 [http-nio-8080-exec-14] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:34.548 [http-nio-8080-exec-8] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:36.667 [http-nio-8080-exec-10] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:36.669 [http-nio-8080-exec-10] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:39.065 [http-nio-8080-exec-3] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:39.067 [http-nio-8080-exec-3] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:42.531 [http-nio-8080-exec-13] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:42.535 [http-nio-8080-exec-12] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:45.306 [http-nio-8080-exec-10] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'PATCH' not supported
2017-07-20 10:36:45.310 [http-nio-8080-exec-1] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'PATCH' not supported
2017-07-20 10:36:46.881 [http-nio-8080-exec-8] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:46.887 [http-nio-8080-exec-7] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:49.086 [http-nio-8080-exec-6] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:49.091 [http-nio-8080-exec-11] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:52.531 [http-nio-8080-exec-4] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:52.533 [http-nio-8080-exec-4] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:54.684 [http-nio-8080-exec-13] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
