2017-07-20 13:46:00|3|19,thread,state|0,7,0,13,17,0
2017-07-20 13:46:00|3|19,thread,count|37,36,0,39
2017-07-20 13:46:00|3|19,memory,PS Eden Space|16777216,193551688,232783872,245366784
2017-07-20 13:46:00|3|19,gc,PS Scavenge|0,0,17,444
2017-07-20 13:46:00|3|19,gc,PS MarkSweep|0,0,2,531
2017-07-20 13:46:00|3|19,memory,PS Perm Gen|22020096,49394488,103284736,174063616
2017-07-20 13:46:00|3|19,classloading,all|0,8718,8718,0,0
2017-07-20 13:46:00|3|19,memory,Code Cache|2555904,2609088,2752512,50331648
2017-07-20 13:46:00|3|19,memory,PS Old Gen|42991616,83016480,133169152,692060160
2017-07-20 13:48:00|3|15,classloading,all|8710,8710,8710,0,0
2017-07-20 13:48:00|3|15,memory,PS Eden Space|16777216,175547776,229638144,247988224
2017-07-20 13:48:00|3|15,memory,PS Survivor Space|2621440,36943552,37224448,37224448
2017-07-20 13:48:00|3|15,thread,state|0,7,0,10,17,0
2017-07-20 13:48:00|3|15,memory,Code Cache|2555904,2556800,2818048,50331648
2017-07-20 13:48:00|3|15,gc,PS MarkSweep|2,388,2,388
2017-07-20 13:48:00|3|15,memory,PS Perm Gen|22020096,49334608,103284736,174063616
2017-07-20 13:48:00|3|15,memory,PS Old Gen|42991616,89533296,136839168,692060160
2017-07-20 13:48:00|3|15,thread,count|34,33,36,36
2017-07-20 13:48:00|3|15,gc,PS Scavenge|17,428,17,428
2017-07-20 13:48:00|3|15,os,stat|2,890,4144713728,2147479552,218218496,868446208,2556104704,20390000000
